"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","26","6","12.200706","0","28"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","33","33","2","19.085148","0","35"
"/OpenXR/Devices/M_XRController.M_XRController","24","45","33","3","32.142117","0","65"
"Globals","24","761","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","2","2","1","0.946314","0","2"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","2","2","1","0.969635","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","30","16","1","18.755861","0","269"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","0.948944","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","0.937001","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","0.929303","0","3"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","24","15","4","1","9.718736","0","50"
"/OculusVR/Materials/touchController_mat.touchController_mat","24","30","3","1","19.598907","0","109"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","24","2","2","1","0.926409","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","24","2","2","1","1.044801","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","4","4","1","1.883932","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","44","10","1","32.053680","0","201"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","104","5","1","82.666962","0","703"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","24","195","10","1","92.352234","0","2280"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","24","75","5","1","48.317841","0","390"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","240","15","1","245.345627","0","3335"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","24","2","2","1","0.894606","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","24","2","2","1","0.881285","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","0.844227","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","30","30","1","19.360392","0","40"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","1.018916","0","2"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","0.877118","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","15","15","1","9.036911","0","15"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","0.883316","0","2"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","51","4","1","31.125189","0","170"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","10","10","1","7.603548","0","10"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","10","10","1","3.783637","0","10"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","4","4","1","1.526788","0","4"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","77","77","1","45.795849","0","77"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","635","635","1","405.093994","0","635"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","22","2","1","12.641935","0","56"
"/Game/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","24","88","14","2","51.704659","0","334"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","4","4","1","1.649029","0","4"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","4","4","1","1.607019","0","4"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","24","45","3","1","28.965370","0","202"
"/Game/ThirdPerson/Meshes/RampMaterial.RampMaterial","24","45","4","1","29.103249","0","182"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","2","2","1","1.415012","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","1.127045","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","2","2","1","1.022417","0","2"
"/Game/MobileStarterContent/Materials/M_Basic_Wall.M_Basic_Wall","24","45","9","1","27.661829","0","177"
"/Game/MobileStarterContent/Props/Materials/M_Frame.M_Frame","24","45","10","1","29.800587","0","206"
"/Game/MobileStarterContent/Materials/M_Glass.M_Glass","24","30","4","1","18.632086","0","98"
"/Game/MobileStarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","24","40","10","1","23.633850","0","152"
"/Game/MobileStarterContent/Props/Materials/M_Chair.M_Chair","24","45","9","1","29.890739","0","177"
"/Game/MobileStarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","24","45","10","1","29.317635","0","212"
"/Game/MobileStarterContent/Materials/M_Wood_Pine.M_Wood_Pine","24","45","9","1","29.189095","0","177"
"/Game/MobileStarterContent/Materials/M_Wood_Oak.M_Wood_Oak","24","45","10","1","29.325655","0","212"
"/Game/MobileStarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","24","45","9","1","29.901989","0","177"
"/Game/MobileStarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","24","45","10","1","29.658642","0","206"
"/Game/MobileStarterContent/Materials/M_Water_Ocean.M_Water_Ocean","24","45","9","1","31.728025","0","177"
"/Game/MobileStarterContent/Materials/M_Water_Lake.M_Water_Lake","24","45","4","1","30.681206","0","206"
"/Game/MobileStarterContent/Materials/M_Tech_Panel.M_Tech_Panel","24","45","9","1","29.898184","0","177"
"/Game/MobileStarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","24","45","10","1","29.498447","0","206"
"/Game/MobileStarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","24","45","9","1","30.202303","0","177"
"/Game/MobileStarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","24","45","10","1","30.595402","0","206"
"/Game/MobileStarterContent/Materials/M_Rock_Slate.M_Rock_Slate","24","45","9","1","29.740507","0","177"
"/Game/MobileStarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","24","45","10","1","28.552340","0","212"
"/Game/MobileStarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","24","45","9","1","29.310448","0","177"
"/Game/MobileStarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","24","45","10","1","29.275278","0","212"
"/Game/MobileStarterContent/Materials/M_Metal_Steel.M_Metal_Steel","24","45","9","1","29.793016","0","177"
"/Game/MobileStarterContent/Materials/M_Metal_Rust.M_Metal_Rust","24","45","10","1","28.767427","0","206"
"/Game/MobileStarterContent/Materials/M_Metal_Gold.M_Metal_Gold","24","45","9","1","29.649698","0","177"
"/Game/MobileStarterContent/Materials/M_Metal_Copper.M_Metal_Copper","24","45","10","1","29.581753","0","206"
"/Game/MobileStarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","24","45","9","1","29.458216","0","177"
"/Game/MobileStarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","24","45","4","1","29.858253","0","206"
"/Game/MobileStarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","24","45","9","1","29.821508","0","177"
"/Game/MobileStarterContent/Materials/M_Ground_Moss.M_Ground_Moss","24","45","4","1","28.445559","0","206"
"/Game/MobileStarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","24","45","9","1","28.434362","0","177"
"/Game/MobileStarterContent/Materials/M_Ground_Grass.M_Ground_Grass","24","45","10","1","28.185591","0","206"
"/Game/MobileStarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","24","45","9","1","29.707048","0","177"
"/Game/MobileStarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","24","45","10","1","29.397226","0","212"
"/Game/MobileStarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","24","45","9","1","29.376387","0","177"
"/Game/MobileStarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","24","45","10","1","28.142212","0","212"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","24","45","9","1","29.727865","0","177"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","24","45","10","1","29.265572","0","206"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","24","45","9","1","29.425636","0","177"
